	Dodge_018	Dodge_019	Dodge_021	Dodge_022	Dodge_024	Dodge_025	Dodge_026	Dodge_028	Dodge_029	Dodge_030	Dodge_034	Dodge_035	Dodge_036	Dodge_039	Dodge_040	Dodge_046	Dodge_048	Dodge_049	Dodge_051	Dodge_055	Dodge_057	Dodge_059	Dodge_061	Dodge_062	Dodge_063	Dodge_064	Dodge_069	Dodge_070	Dodge_071	Dodge_072	Dodge_073	Dodge_074	Dodge_076	Dodge_078	Dodge_079	Dodge_082	Dodge_087	Dodge_090	Dodge_092	Dodge_093	Dodge_094	Dodge_095	Dodge_096	Dodge_097	Dodge_098	Dodge_100	Dodge_104	Dodge_106	Dodge_107
Mcavernosa00001	14	102	6	0	0	0	18	24	0	18	2	3	10	0	6	0	10	0	7	0	0	5	1	1	29	1	0	1	14	2	0	36	0	0	5	8	0	0	2	2	0	0	3	3	6	0	4	0	2
Mcavernosa00002	3	0	3	3	0	0	6	5	0	3	10	0	13	63	2	5	1	0	0	0	0	43	0	0	5	0	0	0	0	0	165	0	1	0	30	1	0	191	0	12	1	8	4	4	4	0	0	0	0
Mcavernosa00004	2	89	1	17	423	2	2	5	4	0	1	3	31	45	3	4	1	234	3	1	1	24	4	34	3	2	1	106	4	25	3	166	1	322	2	4	0	165	2	3	0	0	3	0	3	7	8	0	1
Mcavernosa00006	0	0	0	0	0	1	0	2	0	9	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcavernosa00007	13	4	7	8	1	2	3	9	0	12	4	3	10	0	5	0	4	1	8	0	1	2	3	2	5	5	1	0	6	3	5	4	0	0	6	7	0	0	0	2	0	2	2	4	2	1	7	0	2
Mcavernosa00014	0	3	0	3	166	1	0	0	0	6	0	8	1	1	0	0	0	0	0	0	6	16	0	1	0	0	16	0	6	14	2	0	0	0	8	14	0	66	0	5	214	12	1	2	6	0	1	132	0
Mcavernosa00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	237	0	0	0	1	0	167	0	0	0	0	0	0	0	0	0	0	0
Mcavernosa00017	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcavernosa00020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Mcavernosa00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcavernosa00023	6	0	0	0	7	0	0	0	0	2	0	2	0	53	0	0	2	0	1	0	0	1	30	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0
Mcavernosa00024	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcavernosa00025	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Mcavernosa00027	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcavernosa00031	2	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	12	1	0	4	1	0	0	283	2	0	3	0	261	0	0	0	0	0	0	0	158	4	6	0	0	0	3	0	0
Mcavernosa00032	1	0	1	0	0	1	15	4	0	6	0	0	1	0	30	1	1	0	0	0	1	1	0	3	1	0	0	0	3	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	3	0	2
Mcavernosa00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
